hogar_alpes_pulsar  | 2026-09-21T04:27:47,429+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.ManagedLedgerImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck] Opened new cursor: NonDurableCursorImpl{ledger=pulsar/standalone/localhost:8080/persistent/healthcheck, cursor=healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c, ackPos=7:457, readPos=7:458}
hogar_alpes_pulsar  | 2026-09-21T04:27:47,430+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.ManagedCursorImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck-healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c] Rewind from 7:458 to 7:458
hogar_alpes_pulsar  | 2026-09-21T04:27:47,430+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentTopic - [persistent://pulsar/standalone/localhost:8080/healthcheck] Disabled replicated subscriptions controller
hogar_alpes_pulsar  | 2026-09-21T04:27:47,430+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - backlog for persistent://pulsar/standalone/localhost:8080/healthcheck - 0
hogar_alpes_pulsar  | 2026-09-21T04:27:47,430+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Created subscription on topic persistent://pulsar/standalone/localhost:8080/healthcheck / healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c
hogar_alpes_pulsar  | 2026-09-21T04:27:47,430+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c] Subscribed to topic on localhost/127.0.0.1:6650 -- consumer: 462
hogar_alpes_pulsar  | 2026-09-21T04:27:47,441+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}][standalone-0-478] Closing producer on cnx /127.0.0.1:33924. producerId=460
hogar_alpes_pulsar  | 2026-09-21T04:27:47,441+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}][standalone-0-478] Closed producer on cnx /127.0.0.1:33924. producerId=460
hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Closing consumer: consumerId=462
hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [standalone-0-478] Closed Producer
hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.AbstractDispatcherSingleActiveConsumer - Removing consumer Consumer{subscription=PersistentSubscription{topic=persistent://pulsar/standalone/localhost:8080/healthcheck, name=healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c}, consumerId=462, consumerName=0bd7d, address=/127.0.0.1:33924}
hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c] Successfully closed subscription [NonDurableCursorImpl{ledger=pulsar/standalone/localhost:8080/persistent/healthcheck, cursor=healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c, ackPos=7:458, readPos=7:459}]
hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c] Successfully closed dispatcher for reader
hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Closed consumer, consumerId=462
hogar_alpes_pulsar  | 2026-09-21T04:27:47,442+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c] Closed consumer
